github_id,name_with_owner,owner,name,stars,forks,is_archived,primary_language,description,created_at,pushed_at,first_seen_at,updated_at
132750724,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,483032,45461,False,Markdown,Master programming by recreating your favorite technologies from scratch.,2018-05-09 12:03:18+00:00,2026-02-21 09:34:54+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708683+00:00
21737465,sindresorhus/awesome,sindresorhus,awesome,448490,33731,False,,😎 Awesome lists about all kinds of interesting topics,2014-07-11 13:42:37+00:00,2026-03-09 07:59:57+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708692+00:00
28457823,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,438782,43755,False,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",2014-12-24 17:49:19+00:00,2026-03-24 14:40:09+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708696+00:00
54346799,public-apis/public-apis,public-apis,public-apis,415574,45033,False,Python,A collective list of free APIs,2016-03-20 23:49:42+00:00,2026-03-18 16:28:22+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708700+00:00
13491895,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,384525,66047,False,Python,:books: Freely available programming books,2013-10-11 06:50:37+00:00,2026-03-24 15:26:23+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708703+00:00
85077558,kamranahmedse/developer-roadmap,kamranahmedse,developer-roadmap,351581,43846,False,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2017-03-15 13:45:52+00:00,2026-03-24 11:27:14+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708707+00:00
83222441,donnemartin/system-design-primer,donnemartin,system-design-primer,340067,55012,False,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2017-02-26 16:15:28+00:00,2026-03-20 01:52:19+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708710+00:00
60493101,jwasham/coding-interview-university,jwasham,coding-interview-university,338182,81620,False,,A complete computer science study plan to become a software engineer.,2016-06-06 02:34:12+00:00,2025-08-28 14:42:47+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708713+00:00
1103012935,openclaw/openclaw,openclaw,openclaw,334006,65122,False,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,2025-11-24 10:16:47+00:00,2026-03-24 15:48:43+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708716+00:00
21289110,vinta/awesome-python,vinta,awesome-python,288777,27475,False,Python,"An opinionated list of Python frameworks, libraries, tools, and resources.",2014-06-27 21:00:06+00:00,2026-03-24 05:38:37+00:00,2026-03-24 15:54:11.734252+00:00,2026-03-24 15:54:11.708719+00:00
